# of Rounds,Intention,ST,MG,EG,SG
1,0.422,0.26,0.244,0.372,0.124
2,0.386,0.284,0.152,0.508,0.056
3,0.378,0.356,0.032,0.588,0.024
4,0.4,0.496,0.052,0.436,0.016
5,0.388,0.572,0.056,0.368,0.004
6,0.388,0.656,0.068,0.276,0
7,0.464,0.692,0.068,0.236,0.004
8,0.474,0.664,0.128,0.204,0.004
9,0.502,0.568,0.224,0.208,0
10,0.566,0.508,0.26,0.224,0.008
11,0.606,0.372,0.408,0.212,0.008
12,0.6,0.244,0.536,0.208,0.012
13,0.434,0.224,0.472,0.292,0.012
14,0.36,0.256,0.3,0.432,0.012
15,0.394,0.328,0.136,0.516,0.02
16,0.428,0.38,0.096,0.504,0.02
17,0.468,0.368,0.108,0.512,0.012
18,0.55,0.348,0.168,0.48,0.004
19,0.624,0.272,0.248,0.48,0
20,0.698,0.184,0.38,0.424,0.012
21,0.684,0.092,0.464,0.436,0.008
22,0.57,0.048,0.36,0.572,0.02
23,0.562,0.06,0.232,0.7,0.008
24,0.678,0.044,0.196,0.74,0.02
25,0.764,0.036,0.244,0.696,0.024
26,0.798,0.04,0.256,0.684,0.02
27,0.844,0.02,0.32,0.624,0.036
28,0.786,0.012,0.324,0.644,0.02
29,0.754,0.024,0.24,0.716,0.02
30,0.78,0.024,0.232,0.732,0.012
31,0.824,0.004,0.312,0.66,0.024
32,0.706,0.012,0.136,0.808,0.044
33,0.786,0.008,0.168,0.764,0.06
34,0.832,0.012,0.216,0.732,0.04
35,0.848,0,0.292,0.664,0.044
36,0.808,0.02,0.264,0.676,0.04
37,0.794,0.024,0.284,0.688,0.004
38,0.822,0.024,0.288,0.684,0.004
39,0.844,0.008,0.316,0.66,0.016
40,0.806,0.016,0.248,0.736,0
41,0.868,0.012,0.296,0.688,0.004
42,0.844,0.032,0.36,0.576,0.032
43,0.766,0.008,0.288,0.676,0.028
44,0.744,0.012,0.188,0.788,0.012
45,0.774,0.016,0.284,0.688,0.012
46,0.796,0.004,0.24,0.728,0.028
47,0.848,0.008,0.256,0.696,0.04
48,0.858,0.012,0.348,0.616,0.024
49,0.808,0.004,0.228,0.748,0.02
50,0.856,0.004,0.216,0.772,0.008
